,Average,Date
339,59.02306481481482,2016-05-06
340,57.82520740740739,2016-05-09
341,58.58541296296297,2016-05-10
342,59.142153703703706,2016-05-11
343,59.80351851851851,2016-05-12
344,59.23657407407408,2016-05-13
345,59.888490740740735,2016-05-16
346,60.076855555555554,2016-05-17
347,59.7942925925926,2016-05-18
348,58.70625925925927,2016-05-19
349,59.488092592592594,2016-05-20
350,59.49864074074075,2016-05-23
351,59.91533333333333,2016-05-24
352,60.67287037037036,2016-05-25
353,61.058194444444446,2016-05-26
354,60.39620925925926,2016-05-27
355,60.81740740740741,2016-05-31
356,60.045235185185184,2016-06-01
357,59.98245185185184,2016-06-02
358,60.147903703703705,2016-06-03
359,60.912192592592596,2016-06-06
360,62.416296296296295,2016-06-07
361,63.375351851851846,2016-06-08
362,62.54595925925925,2016-06-09
363,61.39168148148148,2016-06-10
364,60.719748148148156,2016-06-13
365,60.4093462962963,2016-06-14
366,60.62840370370371,2016-06-15
367,59.336962962962964,2016-06-16
368,60.40157222222223,2016-06-17
369,61.422509259259265,2016-06-20
370,61.44625925925926,2016-06-21
371,62.043898148148145,2016-06-22
372,62.62773333333332,2016-06-23
373,60.744537037037034,2016-06-24
374,58.77050555555556,2016-06-27
375,59.48742777777778,2016-06-28
376,60.900281481481485,2016-06-29
377,61.007192592592595,2016-06-30
378,61.76660185185186,2016-07-01
379,60.41162962962962,2016-07-05
380,60.12753703703703,2016-07-06
381,60.6343888888889,2016-07-07
382,60.64368148148148,2016-07-08
383,61.16977777777778,2016-07-11
384,62.35808333333333,2016-07-12
385,61.932879629629625,2016-07-13
386,62.22298518518518,2016-07-14
387,62.19143148148149,2016-07-15
388,61.773044444444444,2016-07-18
389,61.61439074074074,2016-07-19
390,61.17561666666667,2016-07-20
391,61.30410925925925,2016-07-21
392,60.744240740740736,2016-07-22
393,59.779074074074074,2016-07-25
394,59.5549574074074,2016-07-26
395,59.89785555555555,2016-07-27
396,59.615670370370374,2016-07-28
397,59.87974444444445,2016-07-29
398,59.43064814814815,2016-08-01
399,58.969424074074084,2016-08-02
400,59.94574444444446,2016-08-03
401,60.88157592592592,2016-08-04
402,61.20546296296296,2016-08-05
403,62.60524629629631,2016-08-08
404,62.27677962962963,2016-08-09
405,61.98698888888889,2016-08-10
406,62.31419814814816,2016-08-11
407,62.8098888888889,2016-08-12
